area,room,toilet,lat,long,quan,loai_bds,price-VND
100,0,0,16.09512,108.13844,quan-lien-chieu,mua-dat-nen-du-an/,0
100,0,0,16.1061,108.13558,quan-lien-chieu,mua-dat-nen-du-an/,0
120,4,5,16.07079,108.22511,quan-hai-chau,mua-nha-mat-tien-pho/,100000
120,4,6,16.03346,108.23031,quan-hai-chau,mua-nha-biet-thu-lien-ke/,100000
81,7,7,16.05685,108.24449,quan-son-tra,mua-nha-mat-tien-pho/,105000
276,4,21,16.03163,108.22407,quan-hai-chau,mua-can-ho-chung-cu/,270000
100,3,2,16.00844,108.22669,quan-cam-le,mua-nha-mat-tien-pho/,460000
100,4,4,16.09227,108.23095,quan-son-tra,mua-nha-mat-tien-pho/,687000
134,0,0,16.07401,108.18057,quan-thanh-khe,mua-dat-nen-du-an/,945000
137,0,0,16.07686,108.23455,quan-son-tra,mua-dat-tho-cu/,945000
800,4,6,16.02983,108.25417,quan-ngu-hanh-son,mua-nha-biet-thu-lien-ke/,1000000
95,3,4,16.02611,108.24381,quan-ngu-hanh-son,mua-nha-mat-tien-pho/,1000000
30,1,1,16.04892,108.24906,quan-ngu-hanh-son,mua-can-ho-chung-cu/,1000000
50,3,4,16.08417,108.21861,quan-hai-chau,mua-nha-hem-ngo/,3000000
32,1,1,16.08423,108.24587,quan-son-tra,mua-can-ho-chung-cu/,3000000
35,1,1,16.08423,108.24587,quan-son-tra,mua-can-ho-chung-cu/,3000000
32,1,1,16.08423,108.24587,quan-son-tra,mua-can-ho-chung-cu/,3000000
36,1,1,16.08423,108.24587,quan-son-tra,mua-can-ho-chung-cu/,3000000
35,1,1,16.08521,108.24371,quan-son-tra,mua-can-ho-chung-cu/,3000000
45,1,1,16.08423,108.24587,quan-son-tra,mua-can-ho-chung-cu/,4000000
47,1,1,16.08423,108.24587,quan-son-tra,mua-can-ho-chung-cu/,4000000
36,1,1,16.05684,108.20377,quan-hai-chau,mua-can-ho-dich-vu/,4000000
85,3,3,16.03851,108.24755,quan-ngu-hanh-son,mua-can-ho-chung-cu/,4000000
40,1,1,16.08423,108.24587,quan-son-tra,mua-can-ho-chung-cu/,4000000
30,1,1,16.08423,108.24587,quan-son-tra,mua-can-ho-chung-cu/,4000000
45,1,1,16.08423,108.24587,quan-son-tra,mua-can-ho-chung-cu/,4000000
52,2,2,16.08804,108.23032,quan-son-tra,mua-can-ho-chung-cu/,5000000
70,3,4,16.03274,108.23179,quan-hai-chau,mua-nha-mat-tien-pho/,5000000
68,3,2,16.03851,108.24755,quan-ngu-hanh-son,mua-nha-biet-thu-lien-ke/,5000000
90,7,3,16.04812,108.23801,quan-ngu-hanh-son,mua-nha-mat-tien-pho/,6000000
306,8,4,16.00902,108.21925,quan-cam-le,mua-nha-biet-thu-lien-ke/,6000000
100,4,4,16.08804,108.23032,quan-son-tra,mua-nha-mat-tien-pho/,6000000
134,0,0,16.02268,108.24644,quan-ngu-hanh-son,mua-dat-tho-cu/,6000000
80,2,2,16.0598,108.23051,quan-son-tra,mua-can-ho-chung-cu/,10000000
80,2,2,16.05524,108.23262,quan-son-tra,mua-can-ho-chung-cu/,10000000
180,3,3,16.09227,108.23095,quan-son-tra,mua-nha-biet-thu-lien-ke/,10000000
100,3,2,16.01217,108.22218,quan-cam-le,mua-nha-mat-tien-pho/,12000000
77,2,2,16.0598,108.23051,quan-son-tra,mua-can-ho-chung-cu/,12000000
100,3,3,16.00145,108.22203,quan-cam-le,mua-nha-mat-tien-pho/,12000000
56,0,0,16.05169,108.21802,quan-hai-chau,mua-mat-bang-cua-hang-shop-nhieu-muc-dich/,15000000
96,3,3,16.0598,108.23051,quan-son-tra,mua-can-ho-chung-cu/,15000000
100,2,2,16.0598,108.23051,quan-son-tra,mua-can-ho-chung-cu/,15000000
100,0,0,16.0734,108.22889,quan-son-tra,mua-dat-tho-cu/,17000000
105,0,0,16.03941,108.2377,quan-ngu-hanh-son,mua-dat-nen-du-an/,18000000
85,4,4,16.07743,108.16546,quan-lien-chieu,mua-nha-mat-tien-pho/,20000000
100,16,16,16.08423,108.24587,quan-son-tra,mua-nha-mat-tien-pho/,20000000
138,3,4,16.09512,108.13844,quan-lien-chieu,mua-nha-mat-tien-pho/,20000000
255,1,1,16.12217,108.12213,quan-lien-chieu,mua-nha-mat-tien-pho/,20000000
1263,0,0,16.03746,108.0676,huyen-hoa-vang,mua-dat-tho-cu/,22000000
100,0,0,15.99107,108.23758,quan-ngu-hanh-son,mua-dat-tho-cu/,23000000
90,5,3,15.98967,108.26234,quan-ngu-hanh-son,mua-nha-biet-thu-lien-ke/,25000000
52,0,0,16.0854,108.23467,quan-son-tra,mua-dat-tho-cu/,26000000
85,2,2,16.04645,108.1776,quan-cam-le,mua-nha-hem-ngo/,29000000
150,5,5,16.07446,108.16166,quan-lien-chieu,mua-nha-mat-tien-pho/,35000000
