area,room,toilet,lat,long,price-VND,quan-code,loai_bds-code,price-per-m2
100,0,0,16.09512,108.13844,0,3,7,0
100,0,0,16.1061,108.13558,0,3,7,0
120,4,5,16.07079,108.22511,100000,2,16,833
120,4,6,16.03346,108.23031,100000,2,14,833
81,7,7,16.05685,108.24449,105000,5,16,1296
276,4,21,16.03163,108.22407,270000,2,0,978
100,3,2,16.00844,108.22669,460000,1,16,4600
100,4,4,16.09227,108.23095,687000,5,16,6870
134,0,0,16.07401,108.18057,945000,6,7,7052
137,0,0,16.07686,108.23455,945000,5,9,6897
800,4,6,16.02983,108.25417,1000000,4,14,1250
95,3,4,16.02611,108.24381,1000000,4,16,10526
30,1,1,16.04892,108.24906,1000000,4,0,33333
50,3,4,16.08417,108.21861,3000000,2,15,60000
32,1,1,16.08423,108.24587,3000000,5,0,93750
35,1,1,16.08423,108.24587,3000000,5,0,85714
32,1,1,16.08423,108.24587,3000000,5,0,93750
36,1,1,16.08423,108.24587,3000000,5,0,83333
35,1,1,16.08521,108.24371,3000000,5,0,85714
45,1,1,16.08423,108.24587,4000000,5,0,88888
47,1,1,16.08423,108.24587,4000000,5,0,85106
36,1,1,16.05684,108.20377,4000000,2,1,111111
85,3,3,16.03851,108.24755,4000000,4,0,47058
40,1,1,16.08423,108.24587,4000000,5,0,100000
30,1,1,16.08423,108.24587,4000000,5,0,133333
45,1,1,16.08423,108.24587,4000000,5,0,88888
52,2,2,16.08804,108.23032,5000000,5,0,96153
70,3,4,16.03274,108.23179,5000000,2,16,71428
68,3,2,16.03851,108.24755,5000000,4,14,73529
90,7,3,16.04812,108.23801,6000000,4,16,66666
306,8,4,16.00902,108.21925,6000000,1,14,19607
100,4,4,16.08804,108.23032,6000000,5,16,60000
134,0,0,16.02268,108.24644,6000000,4,9,44776
80,2,2,16.0598,108.23051,10000000,5,0,125000
80,2,2,16.05524,108.23262,10000000,5,0,125000
180,3,3,16.09227,108.23095,10000000,5,14,55555
100,3,2,16.01217,108.22218,12000000,1,16,120000
77,2,2,16.0598,108.23051,12000000,5,0,155844
100,3,3,16.00145,108.22203,12000000,1,16,120000
56,0,0,16.05169,108.21802,15000000,2,13,267857
96,3,3,16.0598,108.23051,15000000,5,0,156250
100,2,2,16.0598,108.23051,15000000,5,0,150000
100,0,0,16.0734,108.22889,17000000,5,9,170000
105,0,0,16.03941,108.2377,18000000,4,7,171428
85,4,4,16.07743,108.16546,20000000,3,16,235294
100,16,16,16.08423,108.24587,20000000,5,16,200000
138,3,4,16.09512,108.13844,20000000,3,16,144927
255,1,1,16.12217,108.12213,20000000,3,16,78431
1263,0,0,16.03746,108.0676,22000000,0,9,17418
100,0,0,15.99107,108.23758,23000000,4,9,230000
90,5,3,15.98967,108.26234,25000000,4,14,277777
52,0,0,16.0854,108.23467,26000000,5,9,500000
85,2,2,16.04645,108.1776,29000000,1,15,341176
150,5,5,16.07446,108.16166,35000000,3,16,233333
100,5,5,16.07446,108.16166,35000000,3,16,350000
100,0,0,16.07446,108.16166,35000000,3,7,350000
778,0,0,16.07331,108.24296,36000000,5,9,46272
151,0,0,16.06486,108.2164,36000000,2,16,238410
95,4,4,16.05704,108.17166,38000000,3,16,400000
100,0,0,16.03851,108.24755,45000000,4,7,450000
188,0,0,15.98635,108.25687,46000000,4,9,244680
82,3,2,16.03851,108.24755,50000000,4,0,609756
122,4,3,15.99107,108.23758,51000000,4,16,418032
105,3,3,16.03851,108.24755,52000000,4,0,495238
62,2,1,16.03851,108.24755,53000000,4,0,854838
62,1,1,16.03851,108.24755,66000000,4,0,1064516
189,0,0,16.05559,108.23997,70000000,5,9,370370
144,2,2,16.16203,108.10753,78000000,3,16,541666
48,1,1,15.99582,108.26936,79000000,4,1,1645833
1,1,1,15.99582,108.26936,79000000,4,1,79000000
1000,0,0,16.05655,108.24693,80000000,5,7,80000
300,3,4,15.98967,108.26234,94000000,4,14,313333
120,4,6,16.03346,108.23031,100000000,2,16,833333
120,4,4,16.03234,108.23186,100000000,2,16,833333
75,2,2,16.0558,108.22367,100000000,2,0,1333333
105,3,2,16.03851,108.24755,200000000,4,0,1904761
306,5,4,16.0669,108.21225,201000000,6,11,656862
3,0,0,16.1061,108.13558,258000000,3,7,86000000
100,0,0,16.0732,108.21208,267000000,6,14,2670000
142,0,0,16.05702,108.23953,300000000,5,9,2112676
125,0,0,15.99231,108.20072,363000000,0,15,2904000
119,0,0,16.00111,108.20679,365000000,0,9,3067226
119,0,0,15.99231,108.20072,365000000,0,7,3067226
144,0,0,15.96639,108.18096,370000000,0,9,2569444
67,2,2,16.07422,108.13483,400000000,3,0,5970149
82,2,2,16.03851,108.24755,402000000,4,0,4902439
868,5,2,16.03328,108.22257,407000000,2,16,468894
110,0,0,15.9511,108.14006,430000000,0,9,3909090
