link,price,area,room,toilet,address
https://mogi.vn/quan-thanh-khe/mua-nha-hem-ngo/chao-ban-2-can-nha-lien-ke-3-tang-kiet-rong-4m-k96-dien-bien-phu-3-xti-id22143789,3 tỷ 590 triệu,41 m2,4 PN,3 WC,"Điện Biên Phủ, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng"
https://mogi.vn/quan-ngu-hanh-son/mua-dat-tho-cu/h0t-can-ban-lo-dat-115m2-k-nguyen-van-thoai-p-my-an-q-ngu-hanh-son-id22024768,4 tỷ 399 triệu,115 m2,0 PN,0 WC,"Nguyễn Văn Thoại, Bắc Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"
https://mogi.vn/quan-hai-chau/mua-nha-hem-ngo/can-ban-dat-80m-tang-nha-c4-2pn-k37-ha-huy-giap-hoa-cuong-nam-da-nang-id22123908,2 tỷ 690 triệu,80 m2,2 PN,1 WC,"Hà Huy Giáp, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"
https://mogi.vn/quan-son-tra/mua-nha-biet-thu-lien-ke/can-ban-biet-thu-123m2-2-mat-tien-vung-thung-3-da-nang-gia-tot-7-19-id22123461,7 tỷ 190 triệu,123 m2,5 PN,4 WC,"Vũng Thùng 3, Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng"
https://mogi.vn/quan-son-tra/mua-dat-tho-cu/gio-hang-dat-bien-son-tra-ngu-hanh-son-da-nang-2023-chinh-chu-can-ban-id22004663,5 tỷ,100 m2,0 PN,0 WC,"An Thượng, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng"
https://mogi.vn/quan-thanh-khe/mua-nha-hem-ngo/nong-can-ban-nha-3-tang-x-56m2-k-tran-cao-van-xuan-ha-thanh-khe-3-19-t-id22101351,3 tỷ 190 triệu,56 m2,4 PN,2 WC,"Trần Cao Vân, Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng"
https://mogi.vn/quan-ngu-hanh-son/mua-dat-tho-cu/can-ban-dat-chinh-chu-kiet-oto-duong-k20-ngu-hanh-son-da-nang-hoa-hong-id21899409,5 tỷ 400 triệu,271 m2,0 PN,0 WC,"Đường K20, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"
https://mogi.vn/quan-hai-chau/mua-nha-hem-ngo/hot-gia-tot-nha-3-tang-x-55m2-k-3-thang-2-hai-chau-da-nang-sau-nha-mat-id22099477,3 tỷ 200 triệu,55 m2,3 PN,3 WC,"Đường 3 Tháng 2, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng"
https://mogi.vn/quan-son-tra/mua-nha-mat-tien-pho/vip-can-ban-nha-2-5-tang-x-120m2-duong-ngo-quyen-an-hai-bac-son-tra-da-id22095777,9 tỷ,120 m2,3 PN,2 WC,"Ngô Quyền, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng"
https://mogi.vn/quan-hai-chau/mua-nha-hem-ngo/can-ban-nha-2-tangx-70m-k78-duong-le-thanh-nghi-hoa-cuong-bac-3-6ti-id22079382,3 tỷ 600 triệu,69 m2,3 PN,3 WC,"Lê Thanh Nghị, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"
https://mogi.vn/quan-cam-le/mua-dat-nen-du-an/h0t-ban-lo-dat-100m2-duong-10m5-le-quang-chi-hoa-xuan-cam-le-da-nan-id22043338,5 tỷ 950 triệu,100 m2,0 PN,0 WC,"Cách Mạng Tháng 8, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"
https://mogi.vn/quan-thanh-khe/mua-nha-hem-ngo/nong-ban-nha-2-tang-k-129-duong-le-do-thanh-khe-da-nang-chi-1-x-ti-id22069925,1 tỷ 940 triệu,30 m2,2 PN,1 WC,"Lê Độ, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng"
https://mogi.vn/quan-son-tra/mua-nha-hem-ngo/h0t-can-ban-nha-84m2-kiet-o-to-nguyen-duy-hieu-an-hai-dong-son-tra-4-id22105359,4 tỷ 500 triệu,84 m2,3 PN,2 WC,"Nguyễn Duy Hiệu, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng"
https://mogi.vn/quan-cam-le/mua-nha-mat-tien-pho/h0t-ban-nha-2-tang-x100m2-duong-thanh-luong-16-khu-do-thi-hoa-xuan-da-id22049873,4 tỷ 450 triệu,100 m2,3 PN,3 WC,"Cách Mạng Tháng 8, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"
https://mogi.vn/quan-ngu-hanh-son/mua-dat-tho-cu/gio-hang-dat-bien-son-tra-ngu-hanh-son-da-nang-2023-chinh-chu-can-ban-id22004665,5 tỷ,100 m2,0 PN,0 WC,"An Dương Vương, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"
https://mogi.vn/quan-ngu-hanh-son/mua-nha-mat-tien-pho/gia-re-ban-nha-100m2-duong-an-duong-vuong-my-an-ngu-hanh-son-da-nang-5-id22117740,5 tỷ 500 triệu,100 m2,2 PN,1 WC,"An Dương Vương, Bắc Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"
https://mogi.vn/quan-ngu-hanh-son/mua-dat-tho-cu/nong-can-ban-dat-102m2-duong-my-da-dong-8-ngu-hanh-son-da-nang-sup-4-id22091151,4 tỷ 400 triệu,102 m2,0 PN,0 WC,"Mỹ Đa Đông 8, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"
https://mogi.vn/quan-son-tra/mua-nha-hem-ngo/ban-nha-2-tangx67m2-k-nguyen-cong-tru-an-hai-dong-son-tra-da-nang-3-3t-id22053705,3 tỷ 300 triệu,67 m2,3 PN,3 WC,"Nguyễn Công Trứ, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng"
https://mogi.vn/quan-ngu-hanh-son/mua-nha-mat-tien-pho/ket-tien-can-ban-nha-50m2-mat-tien-an-thuong-ngu-hanh-son-da-nang-chi-id22003709,4 tỷ 449 triệu,50 m2,2 PN,1 WC,"An Thượng 18, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"
https://mogi.vn/quan-hai-chau/mua-nha-mat-tien-pho/vip-ban-nha-4-tangx-50m2-moi-dep-k-mai-lao-bang-thuan-phuoc-hai-chau-id22148302,3 tỷ 550 triệu,150 m2,3 PN,4 WC,"Mai Lão Bạng, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng"
https://mogi.vn/quan-thanh-khe/mua-nha-hem-ngo/hang-hiem-ban-nha-3tang-x-65m2-k-oto-nguyen-phuoc-nguyen-thanh-khe-3-5-id22037095,3 tỷ 590 triệu,65 m2,3 PN,4 WC,"Nguyễn Phước Nguyên, Phường An Khê, Quận Thanh Khê, Đà Nẵng"
https://mogi.vn/quan-thanh-khe/mua-nha-hem-ngo/nong-ban-nha-2-tang-x-54m2-k-ong-ich-khiem-ngay-canh-bigc-trung-tam-tp-id22144545,2 tỷ 550 triệu,54 m2,3 PN,2 WC,"Ông Ích Khiêm, Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng"
https://mogi.vn/quan-thanh-khe/mua-nha-mat-tien-pho/ban-nha-mat-tien-nguyen-tri-phuong-gia-dau-tu-nha-3-5-tang-xay-id22139539,14 tỷ 200 triệu,125 m2,6 PN,6 WC,"Nguyễn Tri Phương, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng"
https://mogi.vn/quan-lien-chieu/mua-dat-kho-xuong/can-ban-kho-xuong-kcn-hoa-khanh-mo-rong-vi-tri-duong-10b-id22059909,28 tỷ,7800 m2,0 PN,0 WC,"Đường số 5, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng"
https://mogi.vn/quan-ngu-hanh-son/mua-nha-biet-thu-lien-ke/ban-biet-thu-mat-song-2-mat-tien-7-sao-trung-tam-da-nang-id22152592,21 tỷ,300 m2,5 PN,5 WC,"Song Hào, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng"
https://mogi.vn/quan-cam-le/mua-nha-biet-thu-lien-ke/dao-vip-hoa-xuan-chao-ban-can-biet-thu-3-tang-duong-thong-nguyen-id22077466,20 tỷ,260 m2,4 PN,4 WC,"Nguyễn Đình Thi, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"
https://mogi.vn/quan-ngu-hanh-son/mua-nha-biet-thu-lien-ke/ban-biet-thu-bien-da-nang-so-huu-lau-dai-gan-san-golf-brg-427m2-3pn-id22136715,12 tỷ 500 triệu,427 m2,3 PN,3 WC,"Trường Sa, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng"
https://mogi.vn/quan-cam-le/mua-nha-biet-thu-lien-ke/ban-biet-thu-bien-da-nang-440-1m2-co-ho-boi-ke-ocean-villa-chi-15-4-ty-id22135334,15 tỷ 400 triệu,440 m2,3 PN,3 WC,"Cách Mạng Tháng 8, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"
https://mogi.vn/quan-ngu-hanh-son/mua-nha-biet-thu-lien-ke/can-tien-ban-biet-thu-view-san-golf-ven-bien-da-nang-250m2-3pn-11-ty-id22134388,11 tỷ,250 m2,3 PN,3 WC,"Võ Nguyên Giáp, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"
https://mogi.vn/quan-ngu-hanh-son/mua-nha-biet-thu-lien-ke/ly-do-vi-sao-mua-biet-thu-one-river-da-nang-tai-thoi-diem-nay-id22130307,23 tỷ,300 m2,3 PN,3 WC,"Song Hào, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng"
https://mogi.vn/quan-ngu-hanh-son/mua-nha-biet-thu-lien-ke/chu-ban-biet-thu-ven-bien-nam-da-nang-so-huu-lau-dai-427m2-chi-12-5-ty-id22123480,12 tỷ 500 triệu,427 m2,3 PN,3 WC,"Võ Nguyên Giáp, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"
https://mogi.vn/quan-cam-le/mua-nha-mat-tien-pho/ban-shophouse-5-tang-105m2-doi-dien-dao-kim-cuong-hoa-xuan-gia-re-nhat-id22084835,11 tỷ,105 m2,5 PN,5 WC,"Cách Mạng Tháng 8, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"
https://mogi.vn/quan-hai-chau/mua-nha-mat-tien-pho/dinh-cu-my-can-ban-gap-can-shophouse-halla-jade-ven-song-han-gia-re-id22084671,10 tỷ 500 triệu,144 m2,7 PN,7 WC,"Đường 2 Tháng 9, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"
https://mogi.vn/quan-thanh-khe/mua-nha-mat-tien-pho/ban-shophouse-phu-gia-compound-da-nang-da-co-so-gan-bien-re-500tr-id22078370,10 tỷ,144 m2,5 PN,4 WC,"Hùng Vương, Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng"
https://mogi.vn/quan-hai-chau/mua-can-ho-chung-cu/nhan-dat-cho-uu-tien-du-an-risemount-song-han-vi-tri-dep-ck-cao-id22027886,6 tỷ 200 triệu,92 m2,2 PN,2 WC,"Như Nguyệt, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng"
https://mogi.vn/quan-son-tra/mua-can-ho-chung-cu/ban-can-ho-alphanam-luxury-apartment-da-nang-2-phong-ngu-dien-tich-80m-id22027120,4 tỷ 300 triệu,80 m2,2 PN,2 WC,"Võ Văn Kiệt, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng"
https://mogi.vn/quan-hai-chau/mua-can-ho-chung-cu/sang-singapore-ban-can-ho-filmore-da-nang-2pn-51m2-song-han-re-300tr-id22026955,4 tỷ 500 triệu,51 m2,2 PN,2 WC,"Bạch Đằng, Phường Bình Thuận, Quận Hải Châu, Đà Nẵng"
https://mogi.vn/quan-lien-chieu/mua-can-ho-chung-cu/dinh-cu-my-can-ban-can-ho-shizen-nami-2pn-62m2-view-bien-re-300-trieu-id22025693,4 tỷ,62 m2,2 PN,2 WC,"Nguyễn Tất Thành, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà Nẵng"
