area,room,toilet,lat,long,price-VND,loai_bds-code
100,0,0,16.06613,108.24356,15000000000,16
88,0,0,16.06591,108.24193,7800000000,16
100,4,5,16.09384,108.24476,10800000000,14
150,0,0,15.98635,108.25687,6200000000,7
68,2,2,16.06191,108.23652,3100000000,0
100,0,0,16.03328,108.23941,1800000000,7
32,3,2,16.05823,108.21715,1880000000,15
30,2,2,16.04995,108.21626,1850000000,15
112,0,0,15.98326,108.25256,1500000000,9
125,1,1,16.09591,108.13013,5500000000,16
51,2,2,16.08967,108.23897,3050000000,16
56,3,4,16.08954,108.21764,5400000000,16
108,3,2,16.01707,108.19856,7600000000,16
70,4,4,16.0606,108.18981,3500000000,15
120,3,6,16.03189,108.22936,7200000000,16
66,2,2,16.05224,108.24686,1750000000,0
61,0,0,16.04883,108.21071,3500000000,9
82,4,4,16.04258,108.214,5650000000,16
100,0,0,15.98936,108.27118,2200000000,7
63,0,0,16.06056,108.23466,2600000000,9
90,3,3,16.05668,108.18486,6300000000,16
62,1,1,16.04645,108.1776,1850000000,15
85,3,3,16.03851,108.24755,4000000,0
100,0,0,16.07295,108.16745,6800000000,16
155,3,2,16.08428,108.15575,3900000000,16
80,4,4,16.03121,108.22883,5800000000,16
56,0,0,16.06594,108.24045,8500000000,16
52,3,4,16.04259,108.21995,4950000000,15
76,0,0,16.05508,108.22148,11500000000,16
88,6,6,16.07686,108.23455,10800000000,1
50,2,2,16.0606,108.18981,2750000000,15
100,3,4,16.08042,108.14686,2800000000,16
55,0,0,16.0606,108.18981,2350000000,9
90,0,0,16.05685,108.24449,7350000000,16
107,0,0,16.08034,108.14544,2980000000,9
46,3,3,16.0606,108.18981,2852000000,16
48,2,1,16.04335,108.22148,5480000000,16
63,3,4,16.06975,108.19176,4250000000,11
56,3,3,16.05375,108.21137,4170000000,16
100,0,0,16.09512,108.13844,2630000000,7
88,2,2,16.05655,108.24693,5254000000,16
92,2,2,16.07992,108.23045,7600000000,16
30,2,2,16.05538,108.18766,1890000000,15
70,3,3,16.07468,108.1763,4750000000,16
60,4,4,16.04454,108.21522,3900000000,16
72,0,0,16.0628,108.20987,4700000000,16
60,0,0,16.05676,108.16851,1590000000,9
55,3,2,16.06627,108.20857,2570000000,15
100,0,0,16.05638,108.24681,8000000000,16
51,3,2,16.06387,108.18914,2550000000,15
98,0,0,16.03475,108.20878,6500000000,9
171,2,1,16.05745,108.21305,16500000000,16
65,2,1,16.05565,108.16436,1170000000,15
115,7,5,16.0545,108.20975,10900000000,16
100,3,2,16.03002,108.22549,4800000000,16
100,4,5,16.08204,108.16108,7200000000,16
56,3,2,16.06756,108.20497,3430000000,15
80,4,3,16.02978,108.20874,5800000000,16
144,3,3,16.08328,108.22888,12400000000,16
55,3,2,16.07371,108.21071,2650000000,15
72,3,3,16.06427,108.23062,8500000000,16
88,0,0,16.0524,108.17139,3300000000,9
53,3,2,16.05515,108.21731,3580000000,16
100,3,3,16.00641,108.23998,6800000000,16
149,0,0,16.0436,108.21884,12500000000,16
150,0,0,15.98635,108.25687,1400000000,7
100,0,0,16.03844,108.21584,9000000000,16
100,0,0,16.05344,108.16634,3000000000,9
42,3,3,16.06136,108.22056,3390000000,15
160,0,0,16.00551,108.19843,8000000000,9
52,2,2,16.05676,108.16851,1650000000,15
47,3,2,16.05765,108.21816,7500000000,16
105,0,0,16.04245,108.21093,7600000000,9
59,3,3,16.0606,108.18981,7500000000,16
112,2,1,16.05304,108.1731,5800000000,16
30,2,2,16.06851,108.20916,1790000000,15
76,3,4,16.08151,108.16028,4380000000,16
55,2,1,16.07686,108.23455,5500000000,16
75,3,2,16.1066,108.13419,3400000000,16
105,5,5,16.06606,108.18659,14500000000,16
120,0,0,15.99107,108.23758,1650000000,7
85,3,1,16.05284,108.16713,3800000000,16
160,0,0,16.08122,108.24407,7000000000,16
142,0,0,16.06975,108.19176,16000000000,16
100,0,0,16.02723,108.23946,5500000000,9
60,0,0,16.05329,108.22126,4500000000,16
70,3,3,16.05995,108.2118,4000000000,15
150,6,6,16.02967,108.22818,23000000000,16
72,0,0,16.08042,108.14686,9500000000,16
56,2,2,16.05515,108.21731,2850000000,15
70,0,0,16.03037,108.21328,5100000000,16
83,2,2,16.03851,108.24755,3984000000,0
100,4,3,16.0598,108.23051,9800000000,16
119,0,0,15.99231,108.20072,365000000,7
105,3,2,16.03851,108.24755,3800000000,0
90,1,1,15.98659,108.21492,2750000000,16
67,3,2,16.0815,108.21513,5000000000,16
68,2,2,15.98635,108.25687,900000000,0
120,3,2,16.0721,108.22971,9000000000,16
71,3,3,16.04454,108.21522,5450000000,15
54,3,2,16.05995,108.2118,3100000000,11
45,3,3,16.05812,108.18328,2850000000,15
40,2,2,16.06892,108.22455,2470000000,15
125,3,3,16.08562,108.21912,16000000000,16
80,2,2,16.03795,108.24783,4640000000,0
162,0,0,15.97796,108.26199,6500000000,9
70,3,2,16.04451,108.21401,3400000000,15
85,3,2,16.06746,108.19719,2900000000,15
87,2,1,16.07557,108.17608,4200000000,16
55,2,2,15.98326,108.25256,1550000000,0
99,0,0,15.97666,108.23353,1000000000,15
